Landmark_Number,Definition,Ontology_SubClass,Ontology_SubClass_IRI,Code_Definition
1,"Tip of snout, which is the anterior-most part of head",'tip of snout',UBERON:1000016,
2,"Beginning of the scales at the dorsal side, where the head meets the trunk",'anatomical point' | 'part of' some  ('dorso-medial margin' and ('characteristic of' some head)),UBERON:0006983 | BFO:0000050 some  (BSPO:0000048 and (RO:0000052 some UBERON:0000033)),
3,Anterior insertion of the dorsal fin,'anatomical point' | 'part of' some  ('in anterior side of' some 'dorsal fin'),UBERON:0006983 | BFO:0000050 some  (BSPO:0000123 some UBERON:0003097),
4,Posterior insertion of dorsal fin,'anatomical point' | 'part of' some  ('in posterior side of' some 'dorsal fin'),UBERON:0006983 | BFO:0000050 some  (BSPO:0000122 some UBERON:0003097),
5,Dorsal insertion of the caudal fin,'anatomical point' | 'part of' some  ('antero-dorsal margin' and ('characteristic of' some 'caudal fin')),UBERON:0006983 | BFO:0000050 some  (BSPO:0000686 and (RO:0000052 some UBERON:4000164)),
6,"End of vertebral column, at the midline of the caudal fin",'anatomical point' | 'part of' some  ('antero-medial margin' and ('characteristic of' some 'caudal fin')),UBERON:0006983 | BFO:0000050 some  (BSPO:0000042 and (RO:0000042 some UBERON:4000164)),
7,Ventral insertion of the caudal fin,'anatomical point' | 'part of' some  ('antero-ventral margin' and ('characteristic of' some 'caudal fin')),UBERON:0006983 | BFO:0000050 some  (BSPO:0000688 and (RO:0000042 some UBERON:4000164)),
8,Posterior insertion of the anal fin,'anatomical point' | 'part of' some  ('in posterior side of' some 'anal fin'),UBERON:0006983 | BFO:0000050 some  (BSPO:0000122 some UBERON:4000163),
9,Anterior insertion of the anal fin,'anatomical point' | 'part of' some  ('in anterior side of' some 'anal fin'),UBERON:0006983 | BFO:0000050 some  (BSPO:0000123 some UBERON:4000163),
10,Anterior insertion of the pelvic fin,'anatomical point' | 'part of' some  ('in anterior side of' some 'pelvic fin'),UBERON:0006983 | BFO:0000050 some  (BSPO:0000123 some UBERON:0000152),
11,Anterior insertion of the pectoral fin,'anatomical point' | 'part of' some  ('in anterior side of' some 'pectoral fin'),UBERON:0006983 | BFO:0000050 some  (BSPO:0000123 some UBERON:0000151),
12,"Most dorsal point of operculum, which is the posterior-most part of the head",'anatomical point' | 'part of' some  ('in posterior side of' some 'opercular flap'),UBERON:0006983 | BFO:0000050 some  (BSPO:0000122 some UBERON:2000555),
13,"Most ventral point of operculum, where the head meets the trunk",'anatomical point' | 'part of' some  ('in ventral side of' some 'opercular flap'),UBERON:0006983 | BFO:0000050 some  (BSPO:0015102 some UBERON:2000555),
14,anterior-most (left-most) part of eye,'anatomical point' | 'part of' some  ('in anterior side of' some eye),UBERON:0006983 | BFO:0000050 some  (BSPO:0000123 some UBERON:0000970),
15,posterior-most (right-most) part of eye,'anatomical point' | 'part of' some  ('in posterior side of' some eye),UBERON:0006983 | BFO:0000050 some  (BSPO:0000122 some UBERON:0000970),
16,dorsal-most (upper) part of eye),'anatomical point' | 'part of' some  ('in dorsal side of' some eye),UBERON:0006983 | BFO:0000050 some  (BSPO:0015101 some UBERON:0000970),
17,ventral-most (lower) part of eye,'anatomical point' | 'part of' some  ('in ventral side of' some eye),UBERON:0006983 | BFO:0000050 some  (BSPO:0015102 some UBERON:0000970),
18,center (centroid) of eye,'anatomical point' | 'part of' some  eye | 'follows axis' some 'left-right axis' | 'follows axis' some 'upper-lower axis',UBERON:0006983 | BFO:0000050 some  UBERON:0000970 | BSPO:0015002 some BSPO:0000017 | BSPO:0015002 some BSPO:0000011,
